ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
Q7Z5P9|secreted	Extracellular	0.055	0.0407	0.1452	0.781	0.0033	0.0277	0.0007	0.0	0.0002	0.0011	0.0
P98088|secreted	Extracellular	0.0022	0.0064	0.0492	0.8816	0.0035	0.0345	0.0091	0.0007	0.0084	0.0065	0.0
Q9Y6R7|secreted	Extracellular	0.002	0.0003	0.0036	0.9745	0.001	0.0062	0.0051	0.0	0.0001	0.0093	0.0
Q02817|secreted	Extracellular	0.0005	0.0074	0.1084	0.8537	0.0008	0.0193	0.0022	0.0004	0.0018	0.0061	0.0
A2VEC9|secreted	Extracellular	0.0	0.0168	0.0573	0.9253	0.0005	0.0	0.0	0.0	0.0	0.0	0.0
Q8NDA2|secreted	Extracellular	0.0114	0.0008	0.0053	0.9567	0.0012	0.0201	0.0081	0.0	0.0005	0.007	0.0003
P98164|cell-envelope	Cell_membrane	0.8135	0.0	0.0	0.1036	0.0001	0.846	0.0039	0.0	0.0005	0.0459	0.0
P04114|secreted	Endoplasmic_reticulum	0.0384	0.006	0.0152	0.3468	0.0041	0.0109	0.5057	0.0004	0.0018	0.1089	0.0002
Q86XX4|cell-envelope	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0002	0.0	0.0001	0.0	0.0
P78509|secreted	Extracellular	0.001	0.0	0.0003	0.9382	0.0001	0.0022	0.0199	0.0	0.0001	0.0392	0.0
P13611|secreted	Extracellular	0.0897	0.1012	0.1481	0.4922	0.0329	0.084	0.0695	0.0103	0.0263	0.0341	0.0013
Q9H251|cell-envelope	Cell_membrane	0.9042	0.0003	0.0004	0.0155	0.0006	0.8027	0.0557	0.0	0.0035	0.1209	0.0003
Q96JQ0|cell-envelope	Cell_membrane	0.9703	0.0002	0.0001	0.0029	0.0016	0.958	0.01	0.0	0.0018	0.0252	0.0002
P12111|secreted	Extracellular	0.0091	0.0001	0.0004	0.8869	0.0002	0.005	0.0662	0.0	0.0054	0.0357	0.0
Q5SZK8|cell-envelope	Cell_membrane	0.9785	0.0001	0.0001	0.0001	0.0027	0.9632	0.0074	0.0001	0.002	0.024	0.0002
Q5T1H1|secreted	Extracellular	0.0022	0.0401	0.116	0.8356	0.0001	0.0051	0.0006	0.0	0.0001	0.0026	0.0
Q99715|secreted	Extracellular	0.0006	0.0	0.0001	0.8562	0.0001	0.0073	0.0708	0.0	0.0006	0.0649	0.0
P35555|secreted	Extracellular	0.0	0.0	0.0001	0.9994	0.0	0.0001	0.0	0.0	0.0	0.0005	0.0
Q9NR99|secreted	Extracellular	0.1009	0.0151	0.0149	0.7791	0.005	0.1292	0.0428	0.0002	0.0072	0.0065	0.0001
P04275|secreted	Extracellular	0.0	0.0	0.0	0.9998	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0
