Entry	Protein names	Length	Subcellular location [CC]	mark
A0A1B0GTR0	Epididymal protein 13	161	Secreted {ECO:0000305}.	1
A0A1B0GVH4	Serine protease-like protein 51	220	Secreted {ECO:0000305}.	1
A0A2R8Y4Y8	Oocyte-secreted protein 4B	160	Secreted {ECO:0000305}.	1
A0A2R8YFL7	Oocyte-secreted protein 4A	184	Secreted {ECO:0000305}.	1
A0A2R8YFM6	Oocyte-secreted protein 3	193	Secreted {ECO:0000305}.	1
A1KZ92	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)	1463	Secreted {ECO:0000305}.; [Isoform PMR1]: Cytoplasm. Note=Associates with polysomes.	1
A1L453	Serine protease 38 (EC 3.4.21.-) (Marapsin-2)	326	Secreted {ECO:0000305}.	1
A1L4H1	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)	1573	Secreted {ECO:0000250}. Cytoplasm {ECO:0000250}.	1
A2RUU4	Colipase-like protein 1	121	Secreted {ECO:0000255|PROSITE-ProRule:PRU00674}.	1
A2VEC9	SCO-spondin (SCO-spondin pseudogene)	5150	"Secreted, extracellular space {ECO:0000250|UniProtKB:P98167}."	1
A5D8T8	C-type lectin domain family 18 member A (Mannose receptor-like protein 2)	446	Secreted {ECO:0000269|PubMed:26170455}. Endoplasmic reticulum {ECO:0000305|PubMed:26170455}. Golgi apparatus {ECO:0000305|PubMed:26170455}. Endosome {ECO:0000305|PubMed:26170455}.	1
A6NC86	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein	204	Secreted {ECO:0000305}.	1
A6NCI4	von Willebrand factor A domain-containing protein 3A	1184	Secreted {ECO:0000305}.	1
A6NE02	BTB/POZ domain-containing protein 17 (Galectin-3-binding protein-like)	478	Secreted {ECO:0000305}.	1
A6NFZ4	Protein FAM24A	105	Secreted {ECO:0000305}.	1
