Entry	Protein names	Length	Subcellular location [CC]	mark
Q9NRM0	"Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9) (Urate transporter)"	540	"[Isoform 1]: Basolateral cell membrane {ECO:0000269|PubMed:14739288, ECO:0000269|PubMed:24409316}; Multi-pass membrane protein {ECO:0000269|PubMed:14739288}.; [Isoform 2]: Apical cell membrane {ECO:0000269|PubMed:24409316}; Multi-pass membrane protein. Basolateral cell membrane {ECO:0000269|PubMed:14739288, ECO:0000269|PubMed:24409316}; Multi-pass membrane protein {ECO:0000269|PubMed:14739288}."	1
Q9NS61	Kv channel-interacting protein 2 (KChIP2) (A-type potassium channel modulatory protein 2) (Cardiac voltage-gated potassium channel modulatory subunit) (Potassium channel-interacting protein 2)	270	[Isoform 1]: Cell membrane {ECO:0000250|UniProtKB:Q9JM59}; Lipid-anchor {ECO:0000250|UniProtKB:Q9JM59}. Note=Detected on lipid rafts (By similarity). {ECO:0000250|UniProtKB:Q9JM59}.; [Isoform 2]: Cell membrane {ECO:0000250|UniProtKB:Q9JM59}; Lipid-anchor {ECO:0000250|UniProtKB:Q9JM59}.; [Isoform 6]: Cell membrane {ECO:0000250|UniProtKB:Q9JM59}; Lipid-anchor {ECO:0000250|UniProtKB:Q9JM59}.	1
Q9BQS2	Synaptotagmin-15 (Chr10Syt) (Synaptotagmin XV) (SytXV)	421	[Isoform 1]: Cell membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.; [Isoform 2]: Cell membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.; [Isoform 4]: Cell membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.	1
P49682	C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183)	368	[Isoform 1]: Cell membrane {ECO:0000269|PubMed:12782716}; Multi-pass membrane protein {ECO:0000269|PubMed:12782716}.; [Isoform 2]: Cell membrane {ECO:0000269|PubMed:12782716}; Multi-pass membrane protein {ECO:0000269|PubMed:12782716}.	1
Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265)	616	[Isoform 1]: Cell membrane {ECO:0000269|PubMed:23664977}; Single-pass type I membrane protein {ECO:0000269|PubMed:23664977}.; [Isoform RANK-e5a]: Cell membrane {ECO:0000269|PubMed:23664977}; Single-pass type I membrane protein {ECO:0000269|PubMed:23664977}.	1
Q16653	Myelin-oligodendrocyte glycoprotein	247	[Isoform 1]: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.; [Isoform 5]: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.; [Isoform 2]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; [Isoform 3]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; [Isoform 4]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; [Isoform 6]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; [Isoform 7]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; [Isoform 8]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; [Isoform 9]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	1
A6NFQ2	TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)	919	[Isoform 2]: Cell membrane {ECO:0000269|PubMed:25559186}. Note=Colocalizes with TRPM8 on the plasma membrane. {ECO:0000269|PubMed:25559186}.	1
P60852	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	638	[Processed zona pellucida sperm-binding protein 1]: Zona pellucida {ECO:0000269|PubMed:29895852}.; Cell membrane {ECO:0000250|UniProtKB:P48829}; Single-pass type I membrane protein {ECO:0000255}.	1
Q05996	Zona pellucida sperm-binding protein 2 (Zona pellucida glycoprotein 2) (Zp-2) (Zona pellucida protein A) [Cleaved into: Processed zona pellucida sperm-binding protein 2]	745	[Processed zona pellucida sperm-binding protein 2]: Zona pellucida {ECO:0000269|PubMed:29895852}.; Cell membrane {ECO:0000250|UniProtKB:P20239}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P20239}.	1
P21754	Zona pellucida sperm-binding protein 3 (Sperm receptor) (ZP3A/ZP3B) (Zona pellucida glycoprotein 3) (Zp-3) (Zona pellucida protein C) [Cleaved into: Processed zona pellucida sperm-binding protein 3]	424	[Processed zona pellucida sperm-binding protein 3]: Zona pellucida {ECO:0000269|PubMed:29895852}.; Cell membrane {ECO:0000250|UniProtKB:P48833}; Single-pass type I membrane protein {ECO:0000255}.	1
