Entry	Protein names	Length	Subcellular location [CC]	mark
Q7L3T8	"Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)"	475	Mitochondrion matrix {ECO:0000305}.	
Q96I59	"Probable asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)"	477	Mitochondrion matrix {ECO:0000250}. Mitochondrion {ECO:0000269|PubMed:25807530}.	
P04818	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	313	Nucleus {ECO:0000269|PubMed:21876188}. Cytoplasm {ECO:0000269|PubMed:21876188}. Mitochondrion {ECO:0000269|PubMed:21876188}. Mitochondrion matrix {ECO:0000269|PubMed:21876188}. Mitochondrion inner membrane {ECO:0000269|PubMed:21876188}.	
P40926	"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)"	338	Mitochondrion matrix {ECO:0000250|UniProtKB:P04636}.	1
Q32P41	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	509	"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03152, ECO:0000269|PubMed:26189817}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03152}. Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03152}. Note=Predominantly in the mitochondria and in the nucleus. {ECO:0000255|HAMAP-Rule:MF_03152}."	
Q7L2E3	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	1194	"Cytoplasm {ECO:0000269|PubMed:29100085}. Mitochondrion {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:29100085}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:25683715}. Note=Localizes to mitochondrial RNA granules found in close proximity to the mitochondrial nucleoids (PubMed:16825194, PubMed:25683715). Relocalizes to stress granules upon heat stress (PubMed:29100085). {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:25683715, ECO:0000269|PubMed:29100085}."	
P26440	"Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase) (EC 1.3.8.1)"	426	Mitochondrion matrix {ECO:0000250|UniProtKB:P12007}.	1
Q9NXA8	"NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)"	310	"Mitochondrion matrix. Mitochondrion intermembrane space. Cytoplasm, cytosol. Nucleus. Note=Mainly mitochondrial. Also present extramitochondrially, with a fraction present in the cytosol and very small amounts also detected in the nucleus.; [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:21143562}. Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03160, ECO:0000269|PubMed:21143562}.; [Isoform 2]: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03160, ECO:0000269|PubMed:21143562}."	
P10515	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)"	647	Mitochondrion matrix.	
O43615	Mitochondrial import inner membrane translocase subunit TIM44	452	Mitochondrion inner membrane {ECO:0000269|PubMed:10339406}; Peripheral membrane protein {ECO:0000269|PubMed:10339406}; Matrix side {ECO:0000269|PubMed:10339406}. Mitochondrion matrix {ECO:0000269|PubMed:10339406}.	
P28330	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)"	430	Mitochondrion matrix {ECO:0000250|UniProtKB:P15650}.	1
Q10713	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	525	Mitochondrion matrix {ECO:0000250|UniProtKB:P20069}. Mitochondrion inner membrane {ECO:0000269|PubMed:25808372}.	1
P42126	"Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)"	302	Mitochondrion matrix {ECO:0000250|UniProtKB:P23965}.	1
Q5VUM1	"Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4)"	108	Mitochondrion matrix {ECO:0000250|UniProtKB:P38345}.	1
Q5JPH6	"Probable glutamate--tRNA ligase, mitochondrial (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)"	523	Mitochondrion matrix {ECO:0000250}.	
Q9NRP4	"Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3)"	125	Mitochondrion matrix {ECO:0000250|UniProtKB:Q04401}.	1
Q9H7H0	"Methyltransferase-like protein 17, mitochondrial (EC 2.1.1.-) (False p73 target gene protein) (Methyltransferase 11 domain-containing protein 1) (Protein RSM22 homolog, mitochondrial)"	456	Mitochondrion matrix {ECO:0000250|UniProtKB:Q3U2U7}.	1
P16219	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)"	412	Mitochondrion matrix {ECO:0000250|UniProtKB:Q3ZBF6}.	1
O95363	"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)"	451	Mitochondrion matrix {ECO:0000250|UniProtKB:Q6AYQ3}. Mitochondrion {ECO:0000250|UniProtKB:Q6AYQ3}.	1
Q15120	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 3)"	406	Mitochondrion matrix.	
Q7Z3D6	"D-glutamate cyclase, mitochondrial (EC 4.2.1.48)"	616	Mitochondrion matrix {ECO:0000250|UniProtKB:Q8BH86}.	1
Q6NUN0	"Acyl-coenzyme A synthetase ACSM5, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 5)"	579	Mitochondrion matrix {ECO:0000250|UniProtKB:Q91VA0}.	1
